epoch	train	val	mae_orig	rmse_orig
0	0.4009079800711738	0.41315973821536517	0.8973183035850525	1.1752090454101562
1	0.3885420792632633	0.41315973821536517	0.8973183035850525	1.1752090454101562
2	0.38076754411061603	0.41315973821536517	0.8973183035850525	1.1752090454101562
3	0.3886828256977929	0.41315973821536517	0.8973183035850525	1.1752090454101562
4	0.3829975525538127	0.41315973821536517	0.8973183035850525	1.1752090454101562
5	0.384426044093238	0.3914552469586217	0.8678233623504639	1.1358811855316162
6	0.3775949776172638	0.3914552469586217	0.8678233623504639	1.1358811855316162
7	0.36927557322714066	0.3914552469586217	0.8678233623504639	1.1358811855316162
8	0.3592526382870144	0.3914552469586217	0.8678233623504639	1.1358811855316162
9	0.36000297798050773	0.3914552469586217	0.8678233623504639	1.1358811855316162
10	0.35267841815948486	0.36881965075352396	0.8349922299385071	1.09673273563385
11	0.3510868416892158	0.36881965075352396	0.8349922299385071	1.09673273563385
12	0.34505977895524764	0.36881965075352396	0.8349922299385071	1.09673273563385
13	0.3363128536277347	0.36881965075352396	0.8349922299385071	1.09673273563385
14	0.32634689079390633	0.36881965075352396	0.8349922299385071	1.09673273563385
15	0.32920769188139176	0.33739833845648654	0.7902975082397461	1.037739634513855
16	0.32271869977315265	0.33739833845648654	0.7902975082397461	1.037739634513855
17	0.3165438605679406	0.33739833845648654	0.7902975082397461	1.037739634513855
18	0.30513668722576565	0.33739833845648654	0.7902975082397461	1.037739634513855
19	0.3045654164420234	0.33739833845648654	0.7902975082397461	1.037739634513855
20	0.30149975087907577	0.30300738136897715	0.7394636869430542	0.9739323854446411
21	0.2923835515975952	0.30300738136897715	0.7394636869430542	0.9739323854446411
22	0.2916305429405636	0.30300738136897715	0.7394636869430542	0.9739323854446411
23	0.2853088014655643	0.30300738136897715	0.7394636869430542	0.9739323854446411
24	0.27019792795181274	0.30300738136897715	0.7394636869430542	0.9739323854446411
25	0.2718614207373725	0.267826049826866	0.6882212162017822	0.9067076444625854
26	0.25657447675863904	0.267826049826866	0.6882212162017822	0.9067076444625854
27	0.26026248104042476	0.267826049826866	0.6882212162017822	0.9067076444625854
28	0.2525499959786733	0.267826049826866	0.6882212162017822	0.9067076444625854
29	0.2449236379729377	0.267826049826866	0.6882212162017822	0.9067076444625854
30	0.23566474351618025	0.23722550180531288	0.6403928995132446	0.8493109345436096
31	0.23665079474449158	0.23722550180531288	0.6403928995132446	0.8493109345436096
32	0.23362854619820914	0.23722550180531288	0.6403928995132446	0.8493109345436096
33	0.2278708749347263	0.23722550180531288	0.6403928995132446	0.8493109345436096
34	0.22249487207995522	0.23722550180531288	0.6403928995132446	0.8493109345436096
35	0.21719855070114136	0.21317686487075893	0.6009944677352905	0.8034024834632874
36	0.21093475653065574	0.21317686487075893	0.6009944677352905	0.8034024834632874
37	0.20793495575586954	0.21317686487075893	0.6009944677352905	0.8034024834632874
38	0.2075410700506634	0.21317686487075893	0.6009944677352905	0.8034024834632874
39	0.20381956133577558	0.21317686487075893	0.6009944677352905	0.8034024834632874
40	0.20753946072525448	0.19738997287990512	0.5720629096031189	0.7742012739181519
41	0.19928333328829873	0.19738997287990512	0.5720629096031189	0.7742012739181519
42	0.1889681021372477	0.19738997287990512	0.5720629096031189	0.7742012739181519
43	0.2041230019595888	0.19738997287990512	0.5720629096031189	0.7742012739181519
44	0.19760077695051828	0.19738997287990512	0.5720629096031189	0.7742012739181519
45	0.19099010195997027	0.18845031485539074	0.5498906970024109	0.7599459290504456
46	0.189304671353764	0.18845031485539074	0.5498906970024109	0.7599459290504456
47	0.18379952510197958	0.18845031485539074	0.5498906970024109	0.7599459290504456
48	0.18627878030141196	0.18845031485539074	0.5498906970024109	0.7599459290504456
49	0.18810756504535675	0.18845031485539074	0.5498906970024109	0.7599459290504456
50	0.1827886700630188	0.1831888278094373	0.5422334671020508	0.7476974129676819
51	0.18219177424907684	0.1831888278094373	0.5422334671020508	0.7476974129676819
52	0.18155014514923096	0.1831888278094373	0.5422334671020508	0.7476974129676819
53	0.1832295854886373	0.1831888278094373	0.5422334671020508	0.7476974129676819
54	0.1833142273955875	0.1831888278094373	0.5422334671020508	0.7476974129676819
55	0.18138221237394545	0.180336664351382	0.5376356840133667	0.7409706711769104
56	0.18857544660568237	0.180336664351382	0.5376356840133667	0.7409706711769104
57	0.18277977738115522	0.180336664351382	0.5376356840133667	0.7409706711769104
58	0.18373026450475058	0.180336664351382	0.5376356840133667	0.7409706711769104
59	0.1758516894446479	0.180336664351382	0.5376356840133667	0.7409706711769104
60	0.18030800422032675	0.17835890218731046	0.532094419002533	0.737760066986084
61	0.17511305875248379	0.17835890218731046	0.532094419002533	0.737760066986084
62	0.18223236832353804	0.17835890218731046	0.532094419002533	0.737760066986084
63	0.18034187952677408	0.17835890218731046	0.532094419002533	0.737760066986084
64	0.17894392212231955	0.17835890218731046	0.532094419002533	0.737760066986084
65	0.18338322142759958	0.17652879227963528	0.5274710059165955	0.7344502210617065
66	0.1770552694797516	0.17652879227963528	0.5274710059165955	0.7344502210617065
67	0.1835889220237732	0.17652879227963528	0.5274710059165955	0.7344502210617065
